title,price,publisher,author,discount,url,source,page
Bilgi Sarmal Yayınları TYT Problemler Soru Bankası,161.19,Bilgi Sarmal Yayınları,Mehmet Karanfil,19,https://www.bkmkitap.com/tyt-problemler-soru-bankasi-757801,bkmkitap.com,3
Bilgi Sarmal Yayınları 2023 TYT Deneme 20` li Sosyal Bilimler,152.15,Bilgi Sarmal Yayınları,Kolektif,15,https://www.bkmkitap.com/2023-tyt-deneme-20-li-sosyal-bilimler-bilgi-sarmal-yayinlari,bkmkitap.com,3
Problemler,203.15,Apotemi Yayınları,Fatih İhtiyaroğlu,15,https://www.bkmkitap.com/tyt-kpss-ales-dgs-msu-problemler-apotemi-yayinlari,bkmkitap.com,3
Benim Hocam Yayınları 2024 TYT Kimya Tamamı Çözümlü Soru Bankası,238.7,Benim Hocam Yayınları,Görkem Şahin,30,https://www.bkmkitap.com/2024-tyt-kimya-tamami-video-cozumlu-soru-bankasi-benim-hocam-yayinlari,bkmkitap.com,3
Mert Hoca Yayınları 2025 TYT 70 Günde Matematik Soru Bankası,299.0,Mert Hoca Yayınları,Mert Hoca,0,https://www.bkmkitap.com/mert-hoca-yayinlari-2025-tyt-70-gunde-matematik-soru-bankasi,bkmkitap.com,3
Benim Hocam Yayınları 2024 TYT Kimya Ders Notları,225.4,Benim Hocam Yayınları,Görkem Şahin,30,https://www.bkmkitap.com/2023-tyt-kimya-video-destekli-konu-anlatimi-benim-hocam-yayinlari,bkmkitap.com,3
Üç Dört Beş Yayınları 2024 TYT Türkçe 12 li Deneme,191.36,Üç Dört Beş Yayınları,Müslüm Kaplan,36,https://www.bkmkitap.com/tyt-12-li-turkce-deneme-uc-dort-bes-yayinlari,bkmkitap.com,3
Bilgi Sarmal Yayınları Bilgi Sarmal TYT Matematik Soru Bankası,322.15,Bilgi Sarmal Yayınları,Kolektif,15,https://www.bkmkitap.com/bilgi-sarmal-tyt-matematik-soru-bankasi,bkmkitap.com,3
Rehber Matematik 49 Günde TYT Matematik Video Ders Notları,219.0,Rehber Matematik,Kolektif,0,https://www.bkmkitap.com/49-gunde-tyt-matematik-video-ders-notlari,bkmkitap.com,3
Antrenmanlarla Geometri 1,297.0,Antrenmanlarla Matematik Yayıncılık,Ahmet Karakoç,40,https://www.bkmkitap.com/antrenmanlarla-geometri-224688,bkmkitap.com,4
